"Historical Global Internet Traffic Data, 1984 through 2014",
Year,Traffic (GB/mo)
1984,15.00
1985,33.00
1986,65.00
1987,128.00
1988,252.00
1989,498.00
1990,1000.00
1991,2002.00
1992,4444.00
1993,8715.00
1994,25830.00
1995,150500.00
1996,1200000.00
1997,5000000.00
1998,11200000.00
1999,25500000.00
2000,75250000.00
2001,175000000.00
2002,356000000.00
2003,681050000.00
2004,1267800000.00
2005,1802745619.00
2006,2910579371.00
2007,4477367718.00
2008,6491159470.00
2009,9301984735.00
2010,13751003569.00
2011,19974008812.00
2012,26214897380.00
2013,32798830927.00
2014,42423169029.00