,"World"
"1900-01-01 00:00:00",20.202
"1901-01-01 00:00:00",22.6
"1902-01-01 00:00:00",24.539
"1903-01-01 00:00:00",26.229
"1904-01-01 00:00:00",29.453
"1905-01-01 00:00:00",28.968
"1906-01-01 00:00:00",28.852
"1907-01-01 00:00:00",35.675
"1908-01-01 00:00:00",38.567
"1909-01-01 00:00:00",40.526
"1910-01-01 00:00:00",44.079
"1911-01-01 00:00:00",46.69
"1912-01-01 00:00:00",47.442
"1913-01-01 00:00:00",52.307
"1914-01-01 00:00:00",53.877
"1915-01-01 00:00:00",57.83
"1916-01-01 00:00:00",62.037
"1917-01-01 00:00:00",68.576
"1918-01-01 00:00:00",68.084
"1919-01-01 00:00:00",77.539
"1920-01-01 00:00:00",99.345
"1921-01-01 00:00:00",107.553
"1922-01-01 00:00:00",120.054
"1923-01-01 00:00:00",141.989
"1924-01-01 00:00:00",141.588
"1925-01-01 00:00:00",148.453
"1926-01-01 00:00:00",152.364
"1927-01-01 00:00:00",173.957
"1928-01-01 00:00:00",182.682
"1929-01-01 00:00:00",204.792
"1930-01-01 00:00:00",195.291
"1931-01-01 00:00:00",188.952
"1932-01-01 00:00:00",180.342
"1933-01-01 00:00:00",196.928
"1934-01-01 00:00:00",207.815
"1935-01-01 00:00:00",225.938
"1936-01-01 00:00:00",246.062
"1937-01-01 00:00:00",280.064
"1938-01-01 00:00:00",273.399
"1939-01-01 00:00:00",284.848
"1940-01-01 00:00:00",294.023
"1941-01-01 00:00:00",302.874
"1942-01-01 00:00:00",285.091
"1943-01-01 00:00:00",306.801
"1944-01-01 00:00:00",352.376
"1945-01-01 00:00:00",351.964
"1946-01-01 00:00:00",374.392
"1947-01-01 00:00:00",412.428
"1948-01-01 00:00:00",466.799
"1949-01-01 00:00:00",464.122
"1950-01-01 00:00:00",520.686
"1951-01-01 00:00:00",590.476
"1952-01-01 00:00:00",620.662
"1953-01-01 00:00:00",656.278
"1954-01-01 00:00:00",687.076
"1955-01-01 00:00:00",770.033
"1956-01-01 00:00:00",837.993
"1957-01-01 00:00:00",883.127
"1958-01-01 00:00:00",905.243
"1959-01-01 00:00:00",976.858
"1960-01-01 00:00:00",1052.523
"1961-01-01 00:00:00",1120.326
"1962-01-01 00:00:00",1215.277
"1963-01-01 00:00:00",1303.873
"1964-01-01 00:00:00",1408.146
"1965-01-01 00:00:00",1510.753
"1966-01-01 00:00:00",1639.315
"1967-01-01 00:00:00",1760.558
"1968-01-01 00:00:00",1922.575
"1969-01-01 00:00:00",2069.273
"1970-01-01 00:00:00",2275.601
"1971-01-01 00:00:00",2414.085
"1972-01-01 00:00:00",2548.058
"1973-01-01 00:00:00",2780.383
"1974-01-01 00:00:00",2790.03
"1975-01-01 00:00:00",2648.836
"1976-01-01 00:00:00",2873.32
"1977-01-01 00:00:00",2976.959
"1978-01-01 00:00:00",3009.899
"1979-01-01 00:00:00",3125.15
"1980-01-01 00:00:00",3358.036227003
"1981-01-01 00:00:00",3164.7815153018
"1982-01-01 00:00:00",3021.736509185
"1983-01-01 00:00:00",3009.40740484
"1984-01-01 00:00:00",3092.041498648
"1985-01-01 00:00:00",3056.1382716818
"1986-01-01 00:00:00",3192.680707025
"1987-01-01 00:00:00",3214.541688028
"1988-01-01 00:00:00",3342.234853551
"1989-01-01 00:00:00",3393.612184488
"1990-01-01 00:00:00",3436.137328316
"1991-01-01 00:00:00",3423.2790197868
"1992-01-01 00:00:00",3431.931157166
"1993-01-01 00:00:00",3435.319200037
"1994-01-01 00:00:00",3501.8456846638
"1995-01-01 00:00:00",3577.5352384982
"1996-01-01 00:00:00",3666.824567711
"1997-01-01 00:00:00",3769.856384866
"1998-01-01 00:00:00",3842.6329610391
"1999-01-01 00:00:00",3789.862617571
"2000-01-01 00:00:00",3945.0068989251
"2001-01-01 00:00:00",3925.94227658755
"2002-01-01 00:00:00",3883.98679411045
"2003-01-01 00:00:00",4012.21305630157
"2004-01-01 00:00:00",4210.10500355011
"2005-01-01 00:00:00",4281.93671075038
"2006-01-01 00:00:00",4274.05582475648
"2007-01-01 00:00:00",4264.98129047048
"2008-01-01 00:00:00",4328.81906776778
"2009-01-01 00:00:00",4258.51814963828
"2010-01-01 00:00:00",4364.88594426428
"2011-01-01 00:00:00",4375.67548468062
"2012-01-01 00:00:00",4480.98418896878
"2013-01-01 00:00:00",4473.56270294678
"2014-01-01 00:00:00",4589.23787288278
"2015-01-01 00:00:00",4721.27945678448
"2016-01-01 00:00:00",4745.91028122688