"Microprocessor Clock Speed, Hz, Logarithmic Plot, Page 61",,,,,,,,,,
Title,,,,,,,,,,
Year,Hz,,,,,,,,,
1976,1.35E+06,,,,,,,,,
1977,2.06E+06,,,,,,,,,
1978,2.14E+06,,,,,,,,,
1979,2.29E+06,,,,,,,,,
1980,1.94E+06,,,,,,,,,
1981,2.41E+06,,,,,,,,,
1982,2.63E+06,,,,,,,,,
1983,4.07E+06,,,,,,,,,
1984,5.19E+06,,,,,,,,,
1985,5.89E+06,,,,,,,,,
1986,7.21E+06,,,,,,,,,
1987,9.43E+06,,,,,,,,,
1988,1.27E+07,,,,,,,,,
1989,1.56E+07,,,,,,,,,
1990,1.94E+07,,,,,,,,,
1991,2.12E+07,,,,,,,,,
1992,2.90E+07,,,,,,,,,
1993,3.42E+07,,,,,,,,,
1994,5.34E+07,,,,,,,,,
1995,7.80E+07,,,,,,,,,
1996,1.41E+08,,,,,,,,,
1997,1.84E+08,,,,,,,,,
1998,3.37E+08,,,,,,,,,
1999,4.14E+08,,,,,,,,,
2001,1.68E+09,,,,,,,,,
2002,2.32E+09,,,,,,,,,
2003,3.09E+09,,,,,,,,,
2004,3.99E+09,,,,,,,,,
2005,5.17E+09,,,,,,,,,
2006,5.63E+09,,,,,,,,,
2007,6.74E+09,,,,,,,,,
2010,1.15E+10,,,,,,,,,
2013,1.93E+10,,,,,,,,,
2016,2.88E+10,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Source: Data from 1976–1999: E. R. Berndt, E. R. Dulberger, and N. J. Rappaport, “Price and Quality of Desktop and Mobile Personal Computers: A Quarter Century of History,” July 17, 2000, http://www.nber.org/~confer/2000/si2000/berndt.pdf.
Data from 2001–2016: ITRS, 2002 Update, On-Chip Local Clock in Table 4c: Performance and Package Chips: Frequency On-Chip Wiring Levels—Near-Term Years, p. 167.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,